gp_pre_data     zhang_pre_data     hao_pre_data     svm_pre_data
0.21788     3.5293     2.18     0.2224
0.17287     3.3054     2.0071     0.25322
0.31219     2.9954     1.8067     0.34222
0.3006     2.7909     1.6381     0.32515
0.3508     4.3775     2.7516     0.63867
0.27273     5.7514     3.8774     -0.047119
0.36282     4.219     2.7249     0.27391
0.3097     2.934     1.7377     0.31215
0.24537     2.9192     2.0429     -0.25137
0.3772     3.3393     1.9717     0.35605
0.36932     5.2156     3.1785     0.55526
0.11762     4.2125     2.7227     0.24036
0.31216     3.9692     2.4648     0.19108
0.24977     4.3449     3.2093     -0.4964
0.37999     5.9256     3.5053     0.38895
0.36391     3.3171     1.8612     0.5769
0.35984     4.117     2.5695     0.60788
0.33778     4.2521     2.5973     0.11026
0.36816     3.2612     2.0549     0.31406
0.17885     4.2656     2.9095     0.20056
0.40635     4.9865     3.282     -0.12533
0.42962     2.5313     1.4255     0.40927
0.21513     2.7605     1.5565     0.31752
0.37268     2.8963     1.652     0.39103
0.25131     2.478     1.3757     0.38295
0.40942     5.1546     3.4973     0.16472
0.13906     5.7973     4.6616     -0.46399
0.39411     7.6596     5.0486     0.052432
0.23657     3.5351     2.173     0.22696
0.31923     4.6682     2.9392     -0.16038
0.44543     4.1655     2.5973     0.3128
0.52192     5.5075     3.1662     0.35941
0.26629     4.0158     2.5206     0.69431
0.38903     5.4477     3.475     0.22283
0.22702     2.8701     1.6639     0.37141
0.20691     3.568     2.7292     -0.44675
0.37499     2.6742     1.5271     0.40247
0.42422     2.8235     1.6117     0.40159
0.37181     2.8811     1.6906     0.37183
0.28595     4.7163     3.0522     0.42079
0.36838     2.5465     1.4331     0.37446
0.25378     3.7777     2.3363     0.30567
0.32462     3.4881     2.0585     0.35285
0.44248     3.491     2.0956     0.29036
0.40976     3.4438     2.0484     0.36003
0.34881     2.6406     1.4982     0.36368
0.21654     4.2699     2.783     0.19821
0.39433     4.5172     2.9153     -0.057692
0.179     4.5591     3.346     0.13737
0.36118     3.8197     2.4719     0.25268
0.22198     3.3729     2.1103     0.21792
0.25695     3.6784     2.2513     0.24019
0.39306     2.8809     1.6904     0.36441
0.36899     2.4551     1.3879     0.37347
0.35341     2.4551     1.3879     0.40122
0.21285     5.1041     3.6185     0.27933
0.29007     2.8929     1.9749     0.43504
0.30098     3.107     1.837     0.30573
0.25588     3.2072     1.8871     0.31874
0.22831     3.7661     2.5205     0.22174
0.35195     4.2233     2.5685     0.11239
0.40942     2.4605     1.3608     0.41383
0.22761     3.4267     2.7269     -0.52264
0.22761     3.4267     2.7269     -0.52264
0.32612     5.5441     3.8876     0.068903
0.43731     4.6903     3.2865     0.14381
0.36644     3.0483     1.7715     0.32343
0.28165     3.0048     1.8646     0.26673
0.13524     2.4945     1.3356     0.47184
0.33933     3.388     2.1291     0.32489
0.36729     3.943     2.2894     0.52542
0.35584     5.0093     3.6853     -0.38645
1.3486     10.6792     8.0776     -0.22572
0.20929     4.5982     2.8326     0.62399
0.32423     1.0897     1.0597     -0.21964
0.31353     4.301     2.8417     0.19994
0.3296     4.5069     2.9327     0.2212
0.18328     4.4026     2.8974     -0.23426
0.38304     4.3184     2.7426     0.46163
0.14733     3.7507     2.6123     0.022581
0.34937     4.3028     2.6767     0.74362
0.44098     4.313     2.6172     0.30946
0.31855     4.0421     2.5224     0.20055
0.37268     4.3525     2.5907     0.52413
0.30405     3.3108     2.0252     0.3373
0.33823     2.9908     1.7134     0.38409
0.39223     4.6684     3.1761     0.41588
0.26237     2.9671     1.7316     0.3239
0.44705     6.2633     4.1395     -0.10462
0.22189     2.5602     2.0171     -0.31709
0.34197     1.779     1.5845     -0.22183
0.42859     5.374     3.2072     0.56914
0.2293     4.3444     2.7235     -0.075318
0.33731     3.3391     2.3069     -0.27989
0.35466     4.1046     2.6381     0.26037
0.29183     2.4368     2.0374     -0.23295
0.36108     2.5228     2.0469     -0.20959
0.3924     3.4716     2.1319     0.33101
0.37781     3.5144     2.3341     -0.22801
0.24259     3.4203     2.7238     -0.50887
0.33525     2.9822     2.1149     0.44378
0.37641     4.1895     2.5985     -0.22083
0.29532     4.9272     3.0096     0.68326
0.3705     5.0068     3.0037     0.64123
0.25331     3.9057     2.8064     -0.3363
0.23197     5.624     3.7825     -0.074283
0.32258     3.8389     2.5113     0.24987
0.38446     5.1779     3.3617     0.059455
0.39373     3.0492     1.7885     0.37166
0.30996     2.6996     1.5564     0.34469
0.38544     6.402     4.6657     -0.11124
0.34286     4.9003     3.541     -0.30985
0.38385     3.3617     2.2088     0.25606
0.35514     4.9277     2.9998     0.52049
0.30996     2.6996     1.5564     0.34469
0.19559     4.3652     2.824     6.094e-05
0.28338     3.9961     2.5749     -0.20181
0.36402     4.6888     3.0332     0.17577
0.3662     3.8494     2.7111     0.26302
0.30611     3.3238     2.0745     0.3244
0.20188     3.6051     2.214     0.18017
0.32732     3.2057     1.9189     0.28826
0.35915     5.0699     3.1057     0.49789
0.32656     4.5787     2.9605     0.25134
0.35353     1.1796     1.1482     -0.24414
