gp_pre_data     zhang_pre_data     hao_pre_data     svm_pre_data
0.53239     3.9795     2.7075     0.10903
0.30612     2.7894     1.6286     0.32608
0.2583     4.0812     2.6035     0.57876
0.3231     3.1439     1.8389     0.36218
0.19768     4.4811     2.8112     0.28989
0.2901     5.5143     3.7594     -0.23482
0.48353     3.4303     2.4285     -0.010855
0.26286     2.6907     1.561     0.33417
0.26133     4.8946     3.0102     0.62986
0.39746     4.2413     2.7414     0.20156
0.3142     3.1167     1.8516     0.29588
0.24312     4.47     2.9113     0.39808
0.30498     4.7928     3.8965     -0.29813
0.39064     3.713     2.3156     0.30866
0.3472     5.6378     4.1225     0.031986
0.33656     5.2105     3.2506     0.56726
0.39646     4.3719     2.9215     0.094914
0.35674     3.5048     2.3357     -0.13266
0.21808     4.2244     2.6523     -0.070259
0.33794     6.3775     4.2553     0.32474
0.42404     2.7977     1.6068     0.3947
0.44748     1.9145     1.5884     -0.17137
0.33284     5.5231     3.9304     -0.14557
0.35904     3.3065     2.2366     -0.19239
0.21313     3.7931     2.3409     0.22406
0.42565     3.483     2.1321     0.35025
0.18731     2.9146     1.736     0.30155
0.28596     3.1057     1.7789     0.60578
0.33109     4.9051     2.9193     0.78104
0.29454     4.8373     3.0901     0.37861
0.2805     4.7411     3.3963     -0.3257
0.41923     3.9901     2.3858     0.35026
0.2535     2.7655     1.5855     0.34969
0.1347     3.9175     2.4956     0.10381
0.34461     3.742     2.8265     0.40576
0.33692     4.5646     3.2721     -0.31336
0.38904     3.3502     2.018     0.35411
0.15717     3.3537     2.0326     0.26335
0.28257     5.546     3.3564     0.51809
0.40465     3.0478     1.8196     0.31023
0.32949     3.1675     1.8886     0.34811
0.36189     2.8817     1.7456     0.3618
0.36887     2.9427     1.7747     0.35618
0.37245     2.6261     1.4686     0.4046
0.35433     2.5884     1.4635     0.40303
0.28645     5.5405     3.8368     0.333
0.41012     4.9443     3.0555     0.52218
0.34102     3.9659     2.5838     0.25731
0.3719     2.9335     2.1801     -0.051511
0.36316     1.0393     1.0268     -0.22342
0.27392     5.0932     2.9901     0.54556
0.2483     2.8321     1.6784     0.35384
0.28301     4.2542     3.1936     0.10337
0.21811     4.9619     3.3108     0.1322
0.29742     3.0968     1.8575     0.33807
0.4107     3.4438     2.0484     0.36003
0.18435     3.9165     2.5579     0.24447
0.23297     3.2907     2.0065     0.30838
0.24447     3.5479     2.2162     0.28897
0.18435     3.9165     2.5579     0.24447
0.42337     2.4433     1.338     0.42477
0.26734     4.1246     2.5832     0.25794
0.32724     3.0604     1.8997     0.31798
0.33079     3.5903     2.2285     0.28606
0.32331     5.1474     3.1571     0.48372
0.32585     4.3226     2.7447     0.38587
0.28668     15.7279     12.0016     -0.45606
0.27883     3.7807     2.3782     0.26068
0.31395     3.3345     2.001     0.32771
0.39581     2.5851     1.4826     0.35667
0.43423     3.676     2.188     0.28555
0.25613     2.7438     1.6673     0.34039
0.37611     3.9946     2.3976     0.53872
0.27918     5.5836     3.8583     0.33033
0.23513     3.4267     2.7269     -0.52264
0.23629     3.081     1.8422     0.29552
0.31697     3.0677     1.9137     0.33658
0.23513     3.4267     2.7269     -0.52264
0.38036     5.6901     3.763     0.18344
0.24049     3.7027     2.5002     0.22573
0.31885     4.3429     2.8429     -0.19547
0.41276     3.5272     2.1635     0.34851
0.46773     1.3973     1.2835     -0.222
0.28587     4.1794     2.677     0.10197
0.21729     2.7306     1.587     0.33476
0.40669     6.3138     4.1333     0.19125
0.22343     3.5182     2.1738     0.59747
0.40292     5.3194     3.675     -0.20952
0.22639     3.6736     2.6552     -0.23453
0.32192     4.6539     2.9103     0.46932
0.26522     4.9949     3.0435     0.79084
0.35288     4.7864     3.3842     0.13609
0.36136     3.4567     2.0485     0.67469
0.20199     3.9918     2.5419     0.48897
0.24916     4.6161     3.3791     -0.46403
0.2751     3.1039     1.8284     0.30817
0.36233     2.9136     1.678     0.38567
0.38702     2.5969     1.449     0.40632
0.27088     4.1476     3.087     -0.50148
0.33133     2.6984     1.8694     0.29331
0.33394     3.4101     2.0187     0.34552
0.3662     3.3879     2.0527     0.33708
0.25318     4.8667     3.2715     0.13997
0.3738     4.4273     2.7226     0.089774
0.27869     3.8948     2.4872     0.2422
0.30463     2.7367     1.5832     0.38863
0.364     2.9976     2.0131     -0.14175
0.35312     2.9029     1.6572     0.38757
0.28245     4.9272     3.0096     0.68326
0.35765     5.7745     4.1452     -0.18614
0.21601     3.0542     2.3455     -0.30435
0.29399     3.1223     2.0896     0.45632
0.35014     3.1495     1.8754     0.34513
0.37434     6.7166     4.392     -0.20366
0.27758     5.545     3.3271     0.11638
0.35014     3.1495     1.8754     0.34513
0.3084     2.6996     1.5564     0.34469
0.2275     4.316     3.0632     -0.35846
0.19036     5.624     3.7825     -0.074283
0.35014     3.1495     1.8754     0.34513
0.40868     4.5504     3.3009     0.12336
0.28136     3.0591     1.8219     0.22671
0.3084     2.6996     1.5564     0.34469
0.38028     4.3819     2.6167     0.18398
0.20791     3.7292     2.3696     0.20419
0.38626     3.1021     1.8516     0.34835
0.1594     3.2495     1.9517     0.36442
