gp_pre_data     zhang_pre_data     hao_pre_data     svm_pre_data
0.20045     3.7292     2.3696     0.20419
0.39903     3.1021     1.8516     0.34835
0.1533     3.2495     1.9517     0.36442
0.4919     3.0473     1.7471     0.3581
0.38008     4.7601     2.7843     0.71297
0.38743     4.6941     2.9178     0.37744
0.25148     3.453     2.0482     0.36221
0.3429     3.09     1.7085     0.58681
0.38219     3.5037     2.0372     0.5131
0.37214     6.3782     4.0246     0.050174
0.23787     5.7654     3.9196     -0.40632
0.2992     4.4666     2.9048     0.34501
0.30699     4.0593     2.4841     0.505
0.20547     3.9275     2.9774     -0.47612
0.43622     3.5487     2.0726     0.37469
0.4197     2.7037     1.5766     0.39149
0.26268     5.1135     3.6456     -0.64839
0.27652     5.1292     3.5854     0.16267
0.27048     6.1838     4.0331     0.18973
0.33119     3.9621     2.3813     0.19086
0.25604     4.0299     2.5983     -0.18343
0.21084     3.8648     2.9989     -0.0022957
0.51176     4.4826     2.729     0.25697
0.33365     5.4607     3.3646     0.56231
0.29667     5.8342     4.1619     0.0023338
0.41155     5.5781     3.9021     0.16264
0.39299     3.4367     2.2276     0.51976
0.33876     3.1793     2.0908     -0.15679
0.35393     5.3458     3.3444     0.48724
0.36414     5.1914     3.8587     -0.45536
0.12819     4.9069     3.396     -0.1383
0.27522     4.7518     2.8535     0.54315
0.13841     5.0174     3.4512     -0.2088
0.39227     3.1387     1.908     0.3488
0.42901     4.7256     3.1265     0.21436
0.22361     5.402     3.5266     -0.11521
0.28988     4.6043     2.7431     0.51427
0.37484     3.048     1.809     0.36174
0.41137     3.2851     1.9131     0.37218
0.33616     4.1884     2.4443     0.69165
0.28972     4.6161     3.3791     -0.46403
0.32475     3.1039     1.8284     0.30817
0.39895     2.9136     1.678     0.38567
0.41731     3.1163     1.8082     0.38317
0.14242     3.9072     2.4752     0.166
0.24228     3.5168     2.2253     0.20781
0.29548     5.5964     3.6974     0.36243
0.17739     8.036     5.5972     -0.019084
0.44611     3.3691     2.0485     0.27612
0.24158     4.0873     2.6128     0.17592
0.25438     2.8596     1.652     0.49244
0.25095     6.6617     4.8387     -0.092307
0.34406     6.6538     5.013     -0.25321
0.28814     3.9124     2.9698     -0.50145
0.3116     4.9768     3.5549     0.17405
0.44611     3.3691     2.0485     0.27612
0.34919     5.5526     3.3597     0.49541
0.1761     4.2931     3.2131     0.035591
0.42008     2.6261     1.4686     0.4046
0.35281     2.5884     1.4635     0.40303
0.25415     5.5405     3.8368     0.333
0.38208     4.1619     2.6025     0.27555
0.23487     5.1768     3.6194     0.046583
0.26329     5.2322     3.6826     0.2789
0.28615     5.3296     3.5688     0.36059
0.35759     3.0261     1.7979     0.35374
0.14267     5.2831     3.6441     -0.12489
0.47765     3.4438     2.0484     0.30086
0.46937     3.491     2.0956     0.29036
0.32464     5.3906     3.2786     0.54178
0.28325     4.0568     2.5416     0.25349
0.19853     2.0932     1.8247     -0.25813
0.23264     4.2699     2.783     0.19821
0.29952     2.9723     1.6331     0.50138
0.21462     6.4535     4.7304     -0.21956
0.44088     3.4438     2.0484     0.36003
0.34014     15.7279     12.0016     -0.45606
0.37902     3.5925     2.0834     0.63283
0.31414     3.7807     2.3782     0.26068
0.34962     2.4551     1.3879     0.40122
0.28639     6.0348     4.0269     0.21515
0.41515     3.9386     2.4707     0.52226
0.38188     3.1331     1.7729     0.5991
0.30081     5.6549     3.9634     0.093469
0.22934     3.4267     2.7269     -0.52264
0.41215     4.6293     3.1341     0.19355
0.35919     4.7525     3.0793     0.21581
0.3899     4.6078     2.8301     0.76751
0.21211     6.0392     4.6026     -0.22604
0.26987     3.8971     2.3064     0.70827
0.13372     4.3431     2.8892     0.40001
0.30339     2.6636     2.0688     -0.251
0.32994     3.696     2.263     0.57729
0.31101     3.2284     1.8967     0.61133
0.32917     4.1418     2.7631     0.23181
0.29231     4.1755     3.135     -0.056827
0.39201     4.6184     2.8925     0.39217
0.35739     2.8828     2.2958     -0.14114
0.43525     6.2633     4.1395     -0.10462
0.30731     2.5602     2.0171     -0.31709
0.33536     1.779     1.5845     -0.22183
0.23571     3.9359     2.6565     0.14776
0.35619     5.2316     3.1992     0.4622
0.32304     2.5619     1.4521     0.37123
0.44853     1.0826     1.0546     -0.22121
0.15048     4.3896     3.0484     -0.15273
0.04747     1.5425     1.3196     -0.12919
0.28219     4.8967     3.3966     -0.17623
0.24841     3.5644     2.7512     -0.14858
0.29782     2.0533     1.7906     -0.027266
0.13372     4.3431     2.8892     0.40001
0.32475     3.1039     1.8284     0.30817
0.30522     3.8227     2.5883     0.21767
0.36321     3.709     2.4636     -0.19054
0.12945     6.5682     4.4843     -0.35183
0.49446     3.534     2.1679     0.34836
0.34943     5.448     3.5618     0.15256
0.34144     2.6996     1.5564     0.34469
0.48313     3.7777     2.3343     0.23541
0.31873     3.432     2.0488     0.52094
0.12196     4.3652     2.824     6.094e-05
0.12196     4.3652     2.824     6.094e-05
0.4919     3.0473     1.7471     0.3581
0.38008     4.7601     2.7843     0.71297
0.38743     4.6941     2.9178     0.37744
