gp_pre_data     zhang_pre_data     hao_pre_data     svm_pre_data
0.22328     5.3401     3.5728     0.18833
0.3521     2.8088     1.5965     0.40417
0.25929     3.976     2.3202     0.68696
0.32863     4.1204     2.5815     0.66193
0.19121     3.552     2.2489     0.19882
0.32646     5.0125     3.3803     0.39962
0.1919     5.6458     4.0037     -0.097351
0.32406     3.8061     2.4127     0.64897
0.30119     3.7104     2.8688     -0.50833
0.45188     5.1494     3.0137     0.58108
0.22868     5.3718     3.9214     0.17035
0.34913     3.777     2.3162     0.32334
0.24308     2.9114     2.084     -0.28209
0.29023     4.9299     3.0075     0.72726
0.29107     3.9706     2.5482     0.57294
0.25063     5.0593     3.2011     0.41406
0.27932     4.3359     2.7352     0.16541
0.44986     4.4224     2.707     0.20572
0.2652     3.4041     2.3736     0.18869
0.15407     4.6932     3.3475     -0.053103
0.42129     4.866     2.7845     0.71249
0.32417     5.7472     3.9401     0.27432
0.38621     5.0434     3.5353     -0.25707
0.39781     4.5728     2.675     0.7131
0.37038     4.7749     2.7785     0.56697
0.27877     3.5721     2.2282     0.21133
0.2575     5.0899     3.6161     -0.55645
0.27485     2.4818     1.3787     0.38449
0.31764     3.3721     2.0684     0.20809
0.32793     6.9379     4.9719     -0.11294
0.20328     3.0533     2.0588     -0.13762
0.19592     1.7145     1.3662     -0.15984
0.31808     2.9544     1.5149     0.14661
0.28888     12.1944     9.1043     -0.19785
0.37118     4.0541     2.6104     0.37495
0.4317     3.5807     2.0259     0.30236
0.2518     4.5307     3.3405     -0.25786
0.38581     2.8719     1.736     0.36146
0.10505     3.3372     2.0442     0.2507
0.32796     3.1417     1.8917     0.3528
0.37491     6.9945     5.1833     -0.25667
0.25901     3.8852     3.0091     -0.069436
0.37041     4.095     2.6309     0.37694
0.17816     4.584     3.0666     0.37557
0.15694     3.7993     2.9133     -0.49853
0.283     3.56     2.2258     0.28373
0.41707     3.1163     1.8082     0.38317
0.36356     4.4297     2.7982     0.45756
0.36598     3.0921     1.817     0.30928
0.45659     1.1652     1.119     -0.22815
0.18299     2.8971     1.7181     0.36192
0.28165     3.9941     2.609     0.23203
0.35639     5.6044     3.931     0.16063
0.36783     3.0596     1.8085     0.30946
0.32665     3.0413     1.784     0.32129
0.24976     2.7289     1.6062     0.3252
0.35904     3.9374     2.5213     0.25816
0.30856     3.8889     2.5569     0.22291
0.23265     3.9435     2.5139     0.26085
0.26626     5.5836     3.8583     0.33033
0.28101     5.0458     3.5566     -0.42184
0.44455     4.3725     2.7444     0.17251
0.35165     5.3397     3.7831     0.090556
0.28493     6.0701     4.3773     -0.022122
0.42177     4.6293     3.1341     0.19355
0.22178     3.4267     2.7269     -0.52264
0.44213     2.7127     1.5243     0.4056
0.44758     1.1011     1.0678     -0.22249
0.2766     9.3743     7.1511     -0.26771
0.22178     3.4267     2.7269     -0.52264
0.42397     5.6901     3.763     0.18344
0.42163     3.0572     1.8667     0.35188
0.40555     2.8149     1.6258     0.38701
0.27779     3.5494     2.108     0.66216
0.34716     4.5375     2.8521     0.50021
0.29818     3.9816     2.4249     0.13726
0.39039     4.9948     3.01     0.68417
0.22437     3.0966     1.7691     0.48113
0.12671     2.4564     1.3454     0.48509
0.18602     4.6258     3.1733     -0.018748
0.36772     5.0759     3.0977     0.55309
0.27238     3.4317     2.097     0.26039
0.42521     4.6278     2.9048     0.25473
0.36988     5.0054     3.128     0.76215
0.30979     3.247     1.95     0.33626
0.29206     4.6306     2.7744     0.75392
0.2587     1.5167     1.3934     -0.23525
0.32895     4.3941     2.6233     0.56303
0.37839     4.097     2.5522     0.57183
0.38754     4.5152     2.7609     0.022893
0.39984     3.9543     2.7     0.1103
0.2682     4.7742     2.9862     -0.17807
0.34402     6.0807     4.6312     -0.24606
0.37699     4.7313     2.8327     0.11265
0.30387     4.0421     2.5224     0.20055
0.29323     6.6332     4.6884     0.074278
0.25052     3.7027     2.5002     0.22573
0.33806     4.3429     2.8429     -0.19547
0.46119     3.5159     2.1522     0.34934
0.20326     5.5168     3.7706     0.24937
0.38387     3.3391     2.3069     -0.27989
0.12713     4.3649     3.0336     -0.033297
0.42215     2.8235     1.6117     0.40159
0.20648     4.3896     3.0484     -0.15273
0.21865     5.5231     4.0367     -0.2349
0.44519     3.4438     2.0484     0.36003
0.10945     4.2664     2.8125     0.41732
0.40675     2.8642     1.6544     0.34451
0.38621     3.9018     2.3706     0.23662
0.40909     6.4195     4.0784     0.17619
0.34062     2.9822     2.1149     0.44378
0.32422     4.0752     2.7204     0.19593
0.12968     4.5903     3.3663     -0.55422
0.32077     4.7604     2.9263     0.78017
0.4082     6.402     4.6657     -0.11124
0.31312     2.6996     1.5564     0.34469
0.32401     4.9003     3.541     -0.30985
0.38413     3.1399     1.9092     0.34871
0.40378     2.8963     1.652     0.39103
0.25848     2.144     1.8867     -0.37348
0.27522     2.8695     1.7137     0.35737
0.27957     4.7462     3.2267     -0.26131
0.3517     4.8639     2.9704     0.10986
0.14447     3.0083     2.3188     -0.19858
0.3764     3.1725     1.9352     0.34039
0.2992     4.1806     2.9087     -0.082275
